MgCl2 (mM),(NH4)2SO4 (mM),KCl (mM),Enzyme (ng/ul),TMAC (mM),DMSO (%)
1,30,100,1.2,50,5
2,0,150,0.6,150,0
4,0,0,19.2,200,0
4,0,250,19.2,0,5
4,150,250,1.2,0,5
4,150,0,19.2,0,0
0.5,150,250,0.6,0,5
1,60,0,4.8,0,0
0.5,0,250,0.6,200,5
4,150,250,19.2,200,0
1.5,30,0,2.4,100,5
2,100,0,0.6,50,5
1,150,100,2.4,50,0
0.5,0,250,19.2,200,5
0.5,150,250,19.2,200,0
4,150,0,1.2,200,5
4,150,250,0.6,200,5
0.5,150,0,19.2,0,5
0.5,150,0,19.2,200,0
4,0,0,1.2,0,5
0.5,0,0,19.2,0,5
0.5,0,0,19.2,200,5
4,0,250,19.2,0,0
1.5,150,50,4.8,50,5
0.5,150,250,0.6,0,0
0.5,0,0,19.2,200,0
2,60,50,2.4,150,5
0.5,0,250,19.2,0,5
0.5,150,250,19.2,200,5
0.5,150,0,1.2,0,5
4,0,250,1.2,200,0
0.5,150,250,19.2,0,5
4,0,0,0.6,200,5
4,0,250,0.6,0,0
4,0,250,0.6,200,5
2,30,150,4.8,200,5
4,0,0,19.2,0,5
4,0,0,0.6,200,0
0.5,150,0,0.6,0,0
0.5,150,0,0.6,200,5
2,100,250,1.2,50,5
1,60,250,1.2,100,5
0.5,150,250,0.6,200,5
0.5,0,250,19.2,0,0
4,60,150,9.6,50,5
0.5,0,0,19.2,0,0
4,150,0,19.2,200,0
4,150,250,19.2,0,5
4,150,0,1.2,0,5
0.5,0,0,0.6,0,0
1.5,100,150,1.2,0,0
0.5,150,250,1.2,200,0
0.5,0,0,0.6,200,5
4,100,100,4.8,100,5
1,150,0,4.8,150,0
4,150,250,0.6,200,0
0.5,0,250,2.4,200,0
0.5,0,250,2.4,0,0
0.5,0,0,2.4,200,0
4,0,250,0.6,0,5
0.5,150,250,19.2,0,0
4,150,50,0.6,0,5
4,0,0,19.2,200,5
0.5,60,100,4.8,150,5
1,30,250,0.6,150,0
0.5,0,250,0.6,0,5
4,150,0,0.6,200,0
0.5,0,250,19.2,200,0
4,150,0,1.2,0,0
4,0,0,0.6,0,0
0.5,150,0,19.2,0,0
4,30,50,2.4,0,0
1,150,150,2.4,100,5
0.5,150,0,19.2,200,5
4,150,250,0.6,0,0
4,0,250,19.2,200,5
4,0,0,19.2,0,0
1.5,60,100,0.6,200,0
2,0,100,9.6,100,0
0.5,100,150,2.4,150,5
4,150,250,19.2,200,5
0.5,30,50,1.2,150,0
4,150,0,19.2,0,5
4,150,250,19.2,0,0
4,150,0,19.2,200,5
0.5,30,250,9.6,50,5
4,0,250,19.2,200,0
0.5,0,50,1.2,100,0
1.5,0,250,9.6,150,5
1,100,50,9.6,200,5
0.5,150,0,0.6,200,0
0.5,0,0,0.6,0,5